Timestamp,Fan,PC,AC,Lamp,TV,Total_Power
01/12/2025 00:00,0.000322842,9.81E-05,0.000378445,0.000793007,0.00013177,0.001724185
01/12/2025 00:01,0.000409791,0.000139926,0.000514251,0.000983551,0.000192117,0.002239638
01/12/2025 00:02,0.000231131,7.22E-05,0.000293543,0.000551362,0.000105155,0.001253437
01/12/2025 00:03,0.000330583,9.31E-05,0.000335055,0.000648167,0.000124967,0.001531837
01/12/2025 00:04,0.000523877,0.000159355,0.000616667,0.001246734,0.000247688,0.002794322
01/12/2025 00:05,0.000465025,0.000146302,0.000565422,0.000978681,0.000196628,0.002352058
01/12/2025 00:06,0.000564131,0.000184299,0.000636636,0.001333938,0.000251373,0.002970376
01/12/2025 00:07,0.00046975,0.000139498,0.000484881,0.001037001,0.00018788,0.002319011
01/12/2025 00:08,0.000535026,0.000150764,0.00063223,0.001160177,0.000228391,0.002706588
01/12/2025 00:09,0.000336457,0.000106214,0.000412712,0.000851806,0.000161028,0.001868218
01/12/2025 00:10,0.000321022,8.58E-05,0.000377116,0.00067767,0.00014932,0.0016109
01/12/2025 00:11,0.000305898,8.80E-05,0.000343839,0.000694042,0.000137072,0.001568827
01/12/2025 00:12,0.000349631,9.54E-05,0.00041311,0.000822396,0.000135472,0.001815963
01/12/2025 00:13,0.000419837,0.000125485,0.000494752,0.000975807,0.000186775,0.002202657
01/12/2025 00:14,0.000499187,0.000147816,0.000541012,0.001006045,0.000189479,0.002383538
01/12/2025 00:15,0.000450397,0.000139098,0.000512496,0.00096689,0.00017699,0.002245871
01/12/2025 00:16,0.000383149,0.000111462,0.000422116,0.000738864,0.000153214,0.001808805
01/12/2025 00:17,0.000276687,8.41E-05,0.000321068,0.00062285,0.000116976,0.001421706
01/12/2025 00:18,0.000474957,0.000144096,0.000530167,0.001224965,0.000200357,0.002574543
01/12/2025 00:19,0.000387962,0.000112672,0.000433068,0.000899495,0.000169485,0.002002682
01/12/2025 00:20,0.000476739,0.00015814,0.000643115,0.001193971,0.000214912,0.002686877
